Indique si durante la semana pasada, es decir, entre lunes y domingo, trabajó remuneradamente al menos una hora en alguna de las siguientes actividades:;Si trabajó durante la semana pasada, ¿cuántas horas trabajó en total?;Si está trabajando ¿qué tipo de contrato posees en la actualidad?;Other;Al momento de recibir su mayor ingreso, usted:;¿A qué se dedica principalmente la empresa o institución que le genera su mayor fuente de ingresos?;Other;Durante la semana pasada ¿dónde realizó principalmente sus actividades?;Other;Desde el 18 de octubre 2019, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del estallido social?;Desde que comenzo la pandemia Covid-19 en marzo de 2020, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del Covid-19?;¿Cuál es tu nivel de satisfacción con tu actual situacion laboral?;¿Cuál es tu nivel de satisfacción con tu actual estado de salud?;¿Cuál es tu nivel de satisfacción con su bienestar general?;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;Other;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;Other;Qué tipo de proyecciones laborales tienes a partir de tu experiencia y en el área de la sociología? (Señalar hasta tres conceptos):;Metodologías cualitativas;Metodologías cuantitativas.;Gestión Pública;Metodología de Intervención;Diseño y evaluación de proyectos;Teoría sociológica;Sociologías en general;Utilización de softwares de análisis;Investigación de mercado;Otros intereses;Usted curso boletas de honorarios durante los años 2018, 2019 y 2020.;Cuántas boletas emitió durante el año 2018;Cuántas boletas emitió durante el año 2019;Cuántas boletas emitió durante el año 2020 (antes del 1 de abril);¿Su única fuente de ingresos durante el año 2018 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2019 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2020 ( antes del 1 de abril) fueron las boletas de honorarios?;"De aprobarse una ley que se tramita en el congreso que establece beneficios para los trabajadores a honorarios, que requiere cumplir los siguientes requisitos:  

“Haber emitido boletas de honorarios en a lo menos cuatro meses continuos o discontinuos, de los 12 meses anteriores al 1º de abril de 2020, o haber emitido boletas de honorarios en a los menos 8 meses, continuos o discontinuos, en los 24 meses anteriores a la referida fecha”. 

¿Usted estaría afecto al beneficio?";¿Qué grado académico posee?;Usted obtuvo el título profesional de sociólogo.;¿De qué universidad egresaste?;Comuna de residencia;Comuna donde trabaja;Edad;Género;¿Estás asociado/a al Colegio de Sociólogas y Sociólogos de Chile A.G?;¿Es de su interés asociarse al Colegio de Sociólogas y Sociólogos de Chile A.G?
Trabajo dependiente remunerado;20;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Insatisfecho;;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;análisis, comprensión, solución.;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;creación de pensamientos y soluciones con una mirada desde nuestros aborígenes para resolver lo presente.;0;;;;;;;;Licenciado;0;universidad ARCIS;LA GRANJA;SAN BERNARDO;59;Masculino;0;1
Trabajo dependiente remunerado;50;Contrato indefinido;;Recibe una liquidación de sueldo;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;;;;Evaluación y gestión de proyectos y participación ciudadana  en el espacio público.;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Nada de Interés.;;1;15;8;0;1;0;0;0;Licenciado;0;ARCIS;La Florida;Las Condes;25;Femenino;0;0
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;Estabilidad;Indiferente;Muy interesado;Interesado;Indiferente;Interesado;Poco interés;Indiferente;Muy interesado;Nada de Interés.;;1;0;6;0;0;0;0;1;Magíster;1;Pontificia Universidad Católica de Chile;Quinta Normal;Macul;28;Femenino;0;0
Trabajo dependiente remunerado;44;Contrata plazo fijo;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Insatisfecho;;;;;;;Plebiscito;;;;;;Afectó mi salud corporal y/o mental;;Profundizar el cambio constitucional;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;;1;5;5;1;0;0;0;0;Magíster;1;Universidad Academia de Humanismo Cristiano;Isla de Maipo;Santiago;40;Masculino;1;
Trabajo dependiente remunerado;48;Contrata plazo fijo;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;;Afectó mi salud corporal y/o mental;;cambio climático, temas indígenas, conflictos socioambientales;Muy interesado;Poco interés;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Nada de Interés.;Temas ambientales;1;3;4;0;1;1;0;1;Magíster;1;Andres Bello;Las condes;Santiago;28;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;0;Muy insatisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;relacionamiento comunitario;Interesado;Indiferente;Interesado;Poco interés;Interesado;Interesado;Interesado;Indiferente;Poco interés;patrimonio cultural;0;;;;;;;;Licenciado;1;Universidad de Valparaíso;La Serena;sin trabajo;32;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Disminuyeron levemente;0;Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;;Interesado;Muy interesado;Poco interés;Nada de Interés.;Nada de Interés.;Interesado;Interesado;Muy interesado;Muy interesado;;1;6;6;0;0;0;0;1;Licenciado;1;Udp;Buin;Las condes;34;Masculino;0;0
Desempleado;;;;;;;;;Disminuyeron levemente;0;Disminuyeron totalmente;1;Muy insatisfecho;Muy Satisfecho;Satisfecho;;;;;;;Alegría, Esperanza, y activismo;;;;;;;Económico;Proyectos concursables de desarrollo social y comunitario;Indiferente;Indiferente;Indiferente;Interesado;Interesado;Interesado;Interesado;Nada de Interés.;Nada de Interés.;Sociología critica;0;;;;;;;;Licenciado;0;ARCIS;Vicuña;Chile;37;Masculino;0;1
Trabajo dependiente remunerado;40;Contrata renovable;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Aumentaron;0;Satisfecho;Satisfecho;Satisfecho;;;;;;;;;;;;;Afectó mi salud corporal y/o mental;;Género, políticas públicas culturales, participación ciudadana;Muy interesado;Interesado;Muy interesado;Poco interés;Interesado;Muy interesado;Indiferente;Interesado;Indiferente;No contesta;0;;;;;;;;Magíster;1;Universidad Nacional de Colombia;Providencia;Santiago;57;Femenino;0;1
Trabajo dependiente remunerado;45;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Satisfecho;;;;;;;multiplicidad de roles productivos y reproductivos;;;;;;;multiplicidad de roles productivos y reproductivos;educación y género;Interesado;Interesado;Indiferente;Interesado;Interesado;Indiferente;Interesado;Interesado;Poco interés;.;0;;;;;;;;Licenciado;1;unap;iquique;iquique;33;Femenino;0;1
Trabajo dependiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron totalmente;1;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;nada nuevo;Muy interesado;Interesado;Indiferente;Poco interés;Nada de Interés.;Interesado;Interesado;Muy interesado;Interesado;;1;41;24;6;1;1;1;1;Licenciado;1;universidad de chile;santiago;santiago;40;Femenino;0;1
Trabajo dependiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Satisfecho;Satisfecho;Insatisfecho;;;;;;;Felicidad y esperanzas. Que extraño que solo pudieron alternativas negativas;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;tengo proyecciones;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;sociología critica, anticolonial y feminista;1;9;8;3;1;1;1;1;Magíster;1;ARCIS;ANTOFAGASTA;antofagasta;38;Femenino;1;
Trabajo dependiente remunerado;44;;Reemplazo Servicio de Salud;No entregó nada;;Servicio de Salud;En instalaciones regulares del empleador;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;Tristeza por la indolencia politica y enojo por el mal manejo de gobierno;Todo siguió igual;;;;Tuvo consecuencias emocionales;;;"'-(re)Plantear programas de prevención de salud: dentro el nuevo contexto en el que viviremos durante los próximos 2 a 3 años habrá que reajustarse a las nuevas realidades. Hablo de la salud porque es el área de campo en el que tengo mayor experiencia.
-Refuerzo de interconexión de organizaciones sociales independientes, esfuerzo en el tintero que tengo con un colega.

-Trabajar en Sociología";Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;"'-Conocimiento y Eficiencia en el tejido de lo viejo con lo nuevo
-Visión hacía una humanidad general fuera del control económico.";0;;;;;;;;Licenciado;0;Universidad Arcis Valparaíso;Viña del Mar;Viña del Mar;33;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;;;;preocupación por familiares;No entiendo la pregunta, pero actualmente estoy estudiando postgrado fuera de Chile.;Interesado;Muy interesado;Interesado;Poco interés;Poco interés;Interesado;Interesado;Muy interesado;Poco interés;Ok;1;8;15;0;1;1;0;1;Magíster;1;PUC;Frankston, Australia;Actualmente estudiando fuera de Chile;35;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Insatisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;Trajo conflictos familiares;;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;La verdad es que ya no veo proyecciones, trabajaría en lo que sea;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Interesado;Trabajar en cultura;0;;;;;;;;Magíster;1;Universidad de Valparaiso;Viña Del Mar;No estoy trabajando;36;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;No veo proyección laboral;Muy interesado;Muy interesado;Indiferente;Indiferente;Interesado;Poco interés;Interesado;Muy interesado;Poco interés;Sustentabilidad;1;12;12;4;1;1;1;1;Licenciado;1;UAH;Ñuñoa;'-;34;Masculino;0;1
Trabajo dependiente remunerado;48;Contrata plazo fijo;;Recibe una liquidación de sueldo;;Salud;En instalaciones regulares del empleador;;Aumentaron;0;Aumentaron;1;Indiferente;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;Encontré trabajo;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Especializarme e investigar;Interesado;Interesado;Poco interés;Poco interés;Poco interés;Poco interés;Muy interesado;Interesado;Interesado;Transhumanismo;1;3;2;0;1;0;0;0;Licenciado;1;U. CENTRAL DE CHILE;Ovalle;Ovalle;25;Prefiero no decir;0;1
Empresa individual o familiar;15;Independiente (dueño o socio de firma consultora);;Entrega factura;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron levemente;0;Insatisfecho;Indiferente;Insatisfecho;Todo siguió igual;;;;Trajo conflictos familiares;;;Todo siguió igual;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Incertidumbre, falta de proyectos sociales, desaceleracion de la actividad económica en particular en las ciencias sociales;Interesado;Interesado;Interesado;Interesado;Interesado;Indiferente;Indiferente;Interesado;Interesado;Estudios en ámbitos de  RRHH;1;0;18;0;0;1;0;1;Licenciado;1;Universidad de La Frontera;Ñuñoa;Ñuñoa;46;Masculino;1;
Trabajo dependiente remunerado;2;Contrato indefinido;;No entregó nada;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Aumentaron levemente;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;Asesor político, educativo y conferencista.;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Ninguno;0;;;;;;;;Magíster;0;UAM;Edo. De Mexico.;Edo. De Mexico.;37;Masculino;0;1
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Marketing o comunicación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;Provocó un bajón anímico;;;;;;;;Tuvo consecuencias emocionales;;No salgo de mi casa;Relacionamiento comunitario;Muy interesado;Interesado;Indiferente;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Nada de Interés.;;0;;;;;;;;Magíster;1;Universidad de Concepción;San Pedro de la Paz;Concepción;30;Femenino;0;1
Trabajo independiente remunerado;10;Informal (sin formalización de contrato);;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Muy insatisfecho;Indiferente;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Ninguna;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;Indiferente;Interesado;Investigación sociológica de campo;1;4;5;2;1;1;1;1;Licenciado;0;Arcis;Santiago Centro;Santiago Centro;41;Femenino;0;1
Trabajo dependiente remunerado;50;Contrata plazo fijo;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Insatisfecho;;;;;;;;;;;;;;Sobrecarga laboral que conlleva cansancio físico Y sicologico;Mayor especialización en el área política públicas estudiar un magister poder aportar desde la experiencia para mejoras y generación de políticas públicas pertinentes al territorio;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Poco interés;Ampliar áreas de conocimiento asociadas a la sicologia y trabajo social además de teoría económica y política;1;0;3;0;0;0;0;0;Licenciado;1;Unap;Iquique;Iquique;41;Femenino;0;0
Trabajo independiente remunerado;20;Informal (sin formalización de contrato);;Entrega factura;Investigación;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Insatisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;Interesado;Interesado;Indiferente;Indiferente;Interesado;Indiferente;Interesado;Interesado;Poco interés;;1;5;4;0;0;0;0;0;Magíster;0;uchile;santiago;santiago;49;Masculino;0;0
Trabajo dependiente remunerado;48;;compra de servicios para el Estado;Entrega boleta de honorarios;;salud;En instalaciones regulares del empleador;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;;;;;;;afectó mi trabajo regular;;;;;;;tuve que improvisar en el trabajo pues mi servicio se suspendió por el covid.;Encargado o supervisor de trabajos de campo y investigaciones. Comité de ética.;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Poco interés;sociología de la música y de la salud;1;8;7;3;1;1;1;1;Licenciado;0;Arcis;San Joaquín;Santiago;49;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;1;Se mantuvieron igual;0;Satisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;;;;;;;;;;Afectó mi salud corporal y/o mental;;Inestabilidad inseguridad;Muy interesado;Muy interesado;Interesado;Indiferente;Interesado;Interesado;Interesado;Muy interesado;Indiferente;Sociología de la educacion, Desarrollo Local;1;6;1;3;0;0;1;0;Licenciado;1;Ufro;Temuco;Lautaro;31;Femenino;0;1
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;;Intervención social e investigación;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Aumentaron;0;Satisfecho;Indiferente;Insatisfecho;Todo siguió igual;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;investigación, visibilizar problemáticas y generar propuestas a gobiernos locales rurales;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Estrategias comunitarias para la superación de problemáticas y Resolución de conflictos;1;6;3;0;1;0;0;0;Magíster;1;Universidad Arturo Prat;Iquique;Iquique;30;Masculino;1;
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Investigación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;Académicas;Muy interesado;Muy interesado;Poco interés;Interesado;Muy interesado;Interesado;Interesado;Interesado;Poco interés;;1;17;17;2;1;1;0;0;Postdoctorado;1;La Frontera;Temuco;Temuco;38;Femenino;0;1
Trabajo dependiente remunerado;44;Contrata plazo fijo;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Mantenerme donde estoy;Interesado;Muy interesado;Poco interés;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;;1;6;12;2;0;0;0;1;Magíster;1;Universidad Diego Portales;Las Condes;San Joaquín;27;Femenino;0;1
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Insatisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;GRAN OPORTUNIDADES EN EL ÁREA DE CAPACITACIÓN, ENFOCADO EN APOYO A EMPRESAS PRIVADAS;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;DESARROLLO DE TEORÌAS HUMANISTICAS PARA EL APOYO EN TÉRMINOS DE CONTENCIÓN SOCIOLÓGICA A EMPRESAS;0;;;;;;;;Licenciado;0;ARCIS;MACUL;CERRO NAVIA;54;Masculino;0;1
Trabajo dependiente remunerado;50;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Indiferente;Insatisfecho;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Educación, calidad, investigación;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Muy interesado;Calidad en educación;0;;;;;;;;Magíster;1;Universidad Academia de Humanismo Cristiano;Santiago;Estación Central;33;Masculino;0;1
Trabajo dependiente remunerado;30;Contrata plazo fijo;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Estudiar un doctorado;Muy interesado;Interesado;Muy interesado;Indiferente;Interesado;Interesado;Muy interesado;Interesado;Indiferente;Educación presencial y virtual;0;;;;;;;;Magíster;1;Universidad de La Frontera;Temuco;Temuco;37;Femenino;0;1
Trabajo dependiente remunerado;45;;Convenio Honorarios;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Muy Satisfecho;Muy insatisfecho;;;;;;;me dio esperanza;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Apertura en nuevo campo, bigdata;Indiferente;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Muy interesado;Indiferente;Brechas educación media técnico profesional;1;36;12;13;0;0;0;1;Licenciado;0;ARCIS;Santiago;Vitacura;45;Masculino;0;1
Trabajo independiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Indiferente;Indiferente;Satisfecho;;;;;Trajo conflictos familiares;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Seguir trabajando en Educación;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;Campo Educativo;1;12;12;3;1;1;1;1;Magíster;0;Universidad de Artes y Ciencias Sociales ARCIS;santiago;santiago;36;Masculino;0;1
