"";"p1.trabajo";"p2.horastrabajo";"p3.contrato";"p4.otrocontrato";"p5.pago";"p6.empleador";"p7.otroempleador";"p8.lugartrabajo";"p9.otrolugartrabajo";"p10.ingresosoctubre";"p11.cambiooctubre";"p12.ingresocovid";"p13.cambiocovid";"p14.satisfaccionlaboral";"p15.satisfaccionsalud";"p16.satisfacciongeneral";"p17.octubre.igual";"p18.octubre.pierdetrabajo";"p19.octubre.encuentratrabajo";"p20.octubre.animo";"p21.octubre.familia";"p22.octubre.salud";"p23.octubre.otro";"p24.covid.igual";"p25.covid.pierdetrabajo";"p26.covid.encuentratrabajo";"p27.covid.animo";"p28.covid.emocional";"p29.covid.salud";"p30.covid.otro";"p31.proyeccionlaboral";"p32.cuali";"p33.cuanti";"p34.gestionpublica";"p35.intervencion";"p36.proyectos";"p37.teoria";"p38.general";"p39.software";"p40.mercado";"p41.otros";"p42.honorarios";"p43.boletas2018";"p44.boletas2019";"p45.boletas2020";"p46.fuenteingreso2018";"p47.fuenteingreso2019";"p48.fuenteingreso2020";"p49.afectohonorarios";"p50.gradoacademico";"p51.titulo";"p52.universidad";"p53.comunaresidencia";"p54.comunatrabajo";"p55.edad";"p56.genero";"p57.asociado";"p58.interescolegiarse"
"36";"Trabajo dependiente remunerado";44;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Estabilidad, mejora, realización";"Muy interesado";"Muy interesado";"Indiferente";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Indiferente";"Sociología del derecho";"Si";0;NA;NA;"Si";"Si";"Si";"Si";"Doctorado";"Si";"Universidad de la Frontera";"Santiago";"Santiago";33;"Masculino";"Si";NA
"37";"Empresa individual o familiar";30;"Independiente (dueño o socio de firma consultora)";"";"Entrega factura";"Proyectos sociales";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron levemente";"No";"Disminuyeron totalmente";"No";"Insatisfecho";"Satisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"Baja expectativas laborales e ingresos";"Mantener clientes";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Poco";"Interesado";"Poco";"Poco";"Cambios de paradigmas sociales";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"No";"Universidad Arcis";"San Miguel";"San Miguel";66;"Masculino";"No";"No"
"38";"Trabajo dependiente remunerado";50;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Insatisfecho";"Insatisfecho";NA;NA;NA;NA;NA;NA;"cambio en las metodologías de trabajo y demora en término de actividades académicas";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"Investigación acotada a problemáticas específicas del territorio y desde una óptica del bienestar social";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Interesado";"Interesado";"Nada";"Investigación en base a nuevas metodologías";"Si";3;3;2;"No";"No";"No";"No";"Doctorado";"Si";"Universidad de La Frontera";"Temuco";"Temuco";46;"Femenino";"No";"No"
"39";"Trabajo dependiente remunerado";10;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Aumentaron levemente";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";NA;"Encontré trabajo";NA;NA;NA;"";"Todo siguió igual";NA;"Encontré trabajo";NA;NA;NA;"";"Investigación, posgrado, docencia";"Poco";"Muy interesado";"Poco";"Poco";"Poco";"Interesado";"Interesado";"Muy interesado";"Nada";"";"Si";0;9;3;"Si";"Si";"Si";"Si";"Licenciado";"No";"Universidad de Chile";"La Florida";"Ñuñoa";23;"Masculino";"No";"Si"
"40";"Trabajo dependiente remunerado";20;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Insatisfecho";"Insatisfecho";NA;NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"análisis, comprensión, solución.";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"creación de pensamientos y soluciones con una mirada desde nuestros aborígenes para resolver lo presente.";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"No";"universidad ARCIS";"LA GRANJA";"SAN BERNARDO";59;"Masculino";"No";"Si"
"41";"Trabajo dependiente remunerado";50;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Proyectos sociales";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"Evaluación y gestión de proyectos y participación ciudadana  en el espacio público.";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Nada";"";"Si";15;8;0;"Si";"No";"No";"No";"Licenciado";"No";"ARCIS";"La Florida";"Las Condes";25;"Femenino";"No";"No"
"42";"Trabajo dependiente remunerado";40;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Muy Satisfecho";"Muy Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Estabilidad";"Indiferente";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Poco";"Indiferente";"Muy interesado";"Nada";"";"Si";0;6;0;"No";"No";"No";"Si";"Magíster";"Si";"Pontificia Universidad Católica de Chile";"Quinta Normal";"Macul";28;"Femenino";"No";"No"
"43";"Trabajo dependiente remunerado";44;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Insatisfecho";"Insatisfecho";NA;NA;NA;NA;NA;NA;"Plebiscito";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"Profundizar el cambio constitucional";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Poco";"";"Si";5;5;1;"No";"No";"No";"No";"Magíster";"Si";"Universidad Academia de Humanismo Cristiano";"Isla de Maipo";"Santiago";40;"Masculino";"Si";NA
"44";"Trabajo dependiente remunerado";48;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"cambio climático, temas indígenas, conflictos socioambientales";"Muy interesado";"Poco";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Nada";"Temas ambientales";"Si";3;4;0;"Si";"Si";"No";"Si";"Magíster";"Si";"Andres Bello";"Las condes";"Santiago";28;"Femenino";"No";"Si"
"45";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"No";"Muy insatisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"relacionamiento comunitario";"Interesado";"Indiferente";"Interesado";"Poco";"Interesado";"Interesado";"Interesado";"Indiferente";"Poco";"patrimonio cultural";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Universidad de Valparaíso";"La Serena";"sin trabajo";32;"Masculino";"No";"Si"
"46";"Trabajo dependiente remunerado";45;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron levemente";"No";"Disminuyeron levemente";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"";"Interesado";"Muy interesado";"Poco";"Nada";"Nada";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"";"Si";6;6;0;"No";"No";"No";"Si";"Licenciado";"Si";"Udp";"Buin";"Las condes";34;"Masculino";"No";"No"
"47";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron levemente";"No";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"Alegría, Esperanza, y activismo";NA;NA;NA;NA;NA;NA;"Económico";"Proyectos concursables de desarrollo social y comunitario";"Indiferente";"Indiferente";"Indiferente";"Interesado";"Interesado";"Interesado";"Interesado";"Nada";"Nada";"Sociología critica";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"No";"ARCIS";"Vicuña";"Chile";37;"Masculino";"No";"Si"
"48";"Trabajo dependiente remunerado";40;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Aumentaron";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"Género, políticas públicas culturales, participación ciudadana";"Muy interesado";"Interesado";"Muy interesado";"Poco";"Interesado";"Muy interesado";"Indiferente";"Interesado";"Indiferente";"No contesta";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"Universidad Nacional de Colombia";"Providencia";"Santiago";57;"Femenino";"No";"Si"
"49";"Trabajo dependiente remunerado";45;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"multiplicidad de roles productivos y reproductivos";NA;NA;NA;NA;NA;NA;"multiplicidad de roles productivos y reproductivos";"educación y género";"Interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Poco";".";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"unap";"iquique";"iquique";33;"Femenino";"No";"Si"
"50";"Trabajo dependiente remunerado";40;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"Si";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"nada nuevo";"Muy interesado";"Interesado";"Indiferente";"Poco";"Nada";"Interesado";"Interesado";"Muy interesado";"Interesado";"";"Si";41;24;6;"Si";"Si";"Si";"Si";"Licenciado";"Si";"universidad de chile";"santiago";"santiago";40;"Femenino";"No";"Si"
"51";"Trabajo dependiente remunerado";45;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Disminuyeron levemente";"No";"Satisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;NA;NA;NA;"Felicidad y esperanzas. Que extraño que solo pudieron alternativas negativas";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"tengo proyecciones";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Poco";"sociología critica, anticolonial y feminista";"Si";9;8;3;"Si";"Si";"Si";"Si";"Magíster";"Si";"ARCIS";"ANTOFAGASTA";"antofagasta";38;"Femenino";"Si";NA
"52";"Trabajo dependiente remunerado";44;NA;"Reemplazo Servicio de Salud";"No entregó nada";NA;"Servicio de Salud";"En instalaciones regulares del empleador";"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"No";"Insatisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"Tristeza por la indolencia politica y enojo por el mal manejo de gobierno";"Todo siguió igual";NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"'-(re)Plantear programas de prevención de salud: dentro el nuevo contexto en el que viviremos durante los próximos 2 a 3 años habrá que reajustarse a las nuevas realidades. Hablo de la salud porque es el área de campo en el que tengo mayor experiencia.
-Refuerzo de interconexión de organizaciones sociales independientes, esfuerzo en el tintero que tengo con un colega.

-Trabajar en Sociología";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"'-Conocimiento y Eficiencia en el tejido de lo viejo con lo nuevo
-Visión hacía una humanidad general fuera del control económico.";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"No";"Universidad Arcis Valparaíso";"Viña del Mar";"Viña del Mar";33;"Masculino";"No";"Si"
"53";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;NA;NA;NA;"preocupación por familiares";"No entiendo la pregunta, pero actualmente estoy estudiando postgrado fuera de Chile.";"Interesado";"Muy interesado";"Interesado";"Poco";"Poco";"Interesado";"Interesado";"Muy interesado";"Poco";"Ok";"Si";8;15;0;"Si";"Si";"No";"Si";"Magíster";"Si";"PUC";"Frankston, Australia";"Actualmente estudiando fuera de Chile";35;"Masculino";"No";"Si"
"54";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"Si";"Disminuyeron totalmente";"Si";"Insatisfecho";"Satisfecho";"Insatisfecho";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";"Trajo conflictos familiares";NA;"";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"La verdad es que ya no veo proyecciones, trabajaría en lo que sea";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Trabajar en cultura";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"Universidad de Valparaiso";"Viña Del Mar";"No estoy trabajando";36;"Femenino";"No";"Si"
"55";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Se mantuvieron igual";"No";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;"Perdí mi trabajo";NA;NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"No veo proyección laboral";"Muy interesado";"Muy interesado";"Indiferente";"Indiferente";"Interesado";"Poco";"Interesado";"Muy interesado";"Poco";"Sustentabilidad";"Si";12;12;4;"Si";"Si";"Si";"Si";"Licenciado";"Si";"UAH";"Ñuñoa";"'-";34;"Masculino";"No";"Si"
"56";"Trabajo dependiente remunerado";48;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";NA;"Salud";"En instalaciones regulares del empleador";"";"Aumentaron";"No";"Aumentaron";"Si";"Indiferente";"Muy Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;"Trajo conflictos familiares";"Afectó mi salud corporal y/o mental";"";NA;NA;"Encontré trabajo";NA;"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Especializarme e investigar";"Interesado";"Interesado";"Poco";"Poco";"Poco";"Poco";"Muy interesado";"Interesado";"Interesado";"Transhumanismo";"Si";3;2;0;"Si";"No";"No";"No";"Licenciado";"Si";"U. CENTRAL DE CHILE";"Ovalle";"Ovalle";25;"Prefiero no decir";"No";"Si"
"57";"Empresa individual o familiar";15;"Independiente (dueño o socio de firma consultora)";"";"Entrega factura";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Disminuyeron levemente";"No";"Insatisfecho";"Indiferente";"Insatisfecho";"Todo siguió igual";NA;NA;NA;"Trajo conflictos familiares";NA;"";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Incertidumbre, falta de proyectos sociales, desaceleracion de la actividad económica en particular en las ciencias sociales";"Interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Indiferente";"Indiferente";"Interesado";"Interesado";"Estudios en ámbitos de  RRHH";"Si";0;18;0;"No";"Si";"No";"Si";"Licenciado";"Si";"Universidad de La Frontera";"Ñuñoa";"Ñuñoa";46;"Masculino";"Si";NA
"58";"Trabajo dependiente remunerado";2;"Contrato indefinido";"";"No entregó nada";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Aumentaron levemente";"No";"Satisfecho";"Satisfecho";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Asesor político, educativo y conferencista.";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Ninguno";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"No";"UAM";"Edo. De Mexico.";"Edo. De Mexico.";37;"Masculino";"No";"Si"
"59";"Trabajo dependiente remunerado";40;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Marketing o comunicación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Muy Satisfecho";"Muy Satisfecho";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"No salgo de mi casa";"Relacionamiento comunitario";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Nada";"";"No";NA;NA;NA;NA;NA;NA;NA;"Magíster";"Si";"Universidad de Concepción";"San Pedro de la Paz";"Concepción";30;"Femenino";"No";"Si"
"60";"Trabajo independiente remunerado";10;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"No";"Muy insatisfecho";"Indiferente";"Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Ninguna";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Interesado";"Muy interesado";"Indiferente";"Interesado";"Investigación sociológica de campo";"Si";4;5;2;"Si";"Si";"Si";"Si";"Licenciado";"No";"Arcis";"Santiago Centro";"Santiago Centro";41;"Femenino";"No";"Si"
"61";"Trabajo dependiente remunerado";50;"Contrata plazo fijo";"";"Recibe una liquidación de sueldo";"Políticas públicas";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Insatisfecho";"Insatisfecho";NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"Sobrecarga laboral que conlleva cansancio físico Y sicologico";"Mayor especialización en el área política públicas estudiar un magister poder aportar desde la experiencia para mejoras y generación de políticas públicas pertinentes al territorio";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Poco";"Ampliar áreas de conocimiento asociadas a la sicologia y trabajo social además de teoría económica y política";"Si";0;3;0;"No";"No";"No";"No";"Licenciado";"Si";"Unap";"Iquique";"Iquique";41;"Femenino";"No";"No"
"62";"Trabajo independiente remunerado";20;"Informal (sin formalización de contrato)";"";"Entrega factura";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Se mantuvieron igual";"No";"Satisfecho";"Insatisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";"";"Interesado";"Interesado";"Indiferente";"Indiferente";"Interesado";"Indiferente";"Interesado";"Interesado";"Poco";"";"Si";5;4;0;"No";"No";"No";"No";"Magíster";"No";"uchile";"santiago";"santiago";49;"Masculino";"No";"No"
"63";"Trabajo dependiente remunerado";48;NA;"compra de servicios para el Estado";"Entrega boleta de honorarios";NA;"salud";"En instalaciones regulares del empleador";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"afectó mi trabajo regular";NA;NA;NA;NA;NA;NA;"tuve que improvisar en el trabajo pues mi servicio se suspendió por el covid.";"Encargado o supervisor de trabajos de campo y investigaciones. Comité de ética.";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Interesado";"Interesado";"Poco";"sociología de la música y de la salud";"Si";8;7;3;"Si";"Si";"Si";"Si";"Licenciado";"No";"Arcis";"San Joaquín";"Santiago";49;"Masculino";"No";"Si"
"64";"Trabajo dependiente remunerado";45;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"Si";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Insatisfecho";NA;"Perdí mi trabajo";NA;NA;NA;NA;"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"Inestabilidad inseguridad";"Muy interesado";"Muy interesado";"Interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Muy interesado";"Indiferente";"Sociología de la educacion, Desarrollo Local";"Si";6;1;3;"No";"No";"Si";"No";"Licenciado";"Si";"Ufro";"Temuco";"Lautaro";31;"Femenino";"No";"Si"
